doctor_id,doctor_name,department_id,department_name,hospital_name,city,location_id,qualification,experience_years,consultation_mode
DOC0193,Dr. Suresh Saxena,DEP0193,Pulmonology,"Max Super Speciality Hospital, Vaishali",delhi,LOC0193,MS,31,in_person
DOC0194,Dr. Neha Gupta,DEP0194,Dermatology,"Max Super Speciality Hospital, Shalimar Bagh",noida,LOC0194,MS,27,in_person
DOC0195,Dr. Swati Bhatia,DEP0195,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Gurgaon",ghaziabad,LOC0195,MCh,23,teleconsult
DOC0196,Dr. Shreya Chopra,DEP0196,Pediatrics,"Max Hospital, Noida",gurugram,LOC0196,MS,21,teleconsult
DOC0197,Dr. Aarav Mishra,DEP0197,Endocrinology,"Max Hospital, Lucknow",lucknow,LOC0197,MS,10,teleconsult
DOC0198,Dr. Vivaan Iyer,DEP0198,Internal Medicine,"Max Healthcare Partner Centre, Pune",pune,LOC0198,MS,31,teleconsult
DOC0199,Dr. Aditya Pillai,DEP0199,Neurology,"Max Healthcare Partner Centre, Mumbai",Mumbai,LOC0199,MD,11,in_person
DOC0200,Dr. Arjun Sharma,DEP0200,Neurosurgery,"Max Healthcare Partner Centre, Banguluru",Banguluru,LOC0200,MS,20,teleconsult
DOC0201,Dr. Krishna Kapoor,DEP0201,Urology,"Max Super Speciality Hospital, Saket",delhi,LOC0201,DNB,25,in_person
DOC0202,Dr. Ishaan Singh,DEP0202,Nephrology,"Max Super Speciality Hospital, Patparganj",noida,LOC0202,MS,7,teleconsult
DOC0203,Dr. Rohan Agarwal,DEP0203,Gastroenterology,"Max Super Speciality Hospital, Vaishali",ghaziabad,LOC0203,MD,25,teleconsult
DOC0204,Dr. Kunal Mehta,DEP0204,GI Surgery,"Max Super Speciality Hospital, Shalimar Bagh",gurugram,LOC0204,MCh,30,teleconsult
DOC0205,Dr. Rahul Reddy,DEP0205,Cardiology,"Max Super Speciality Hospital, Gurgaon",lucknow,LOC0205,DNB,15,teleconsult
DOC0206,Dr. Vikram Das,DEP0206,Cardiothoracic Surgery,"Max Hospital, Noida",pune,LOC0206,MCh,22,teleconsult
DOC0207,Dr. Ananya Verma,DEP0207,Orthopaedics,"Max Hospital, Lucknow",Mumbai,LOC0207,MCh,22,in_person
DOC0208,Dr. Diya Malhotra,DEP0208,Oncology,"Max Healthcare Partner Centre, Pune",Banguluru,LOC0208,MCh,24,teleconsult
DOC0209,Dr. Aisha Khanna,DEP0209,Dental Sciences,"Max Healthcare Partner Centre, Mumbai",delhi,LOC0209,DNB,12,teleconsult
DOC0210,Dr. Kavya Yadav,DEP0210,ENT,"Max Healthcare Partner Centre, Banguluru",noida,LOC0210,DNB,6,in_person
DOC0211,Dr. Sneha Nair,DEP0211,Pulmonology,"Max Super Speciality Hospital, Saket",ghaziabad,LOC0211,DNB,21,in_person
DOC0212,Dr. Meera Rao,DEP0212,Dermatology,"Max Super Speciality Hospital, Patparganj",gurugram,LOC0212,MD,9,teleconsult
DOC0213,Dr. Priya Saxena,DEP0213,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Vaishali",lucknow,LOC0213,MS,17,teleconsult
DOC0214,Dr. Nisha Gupta,DEP0214,Pediatrics,"Max Super Speciality Hospital, Shalimar Bagh",pune,LOC0214,DNB,18,in_person
DOC0215,Dr. Ritika Bhatia,DEP0215,Endocrinology,"Max Super Speciality Hospital, Gurgaon",Mumbai,LOC0215,MS,31,teleconsult
DOC0216,Dr. Pooja Chopra,DEP0216,Internal Medicine,"Max Hospital, Noida",Banguluru,LOC0216,MS,21,teleconsult
DOC0217,Dr. Sanjay Mishra,DEP0217,Neurology,"Max Hospital, Lucknow",delhi,LOC0217,MD,28,teleconsult
DOC0218,Dr. Rajiv Iyer,DEP0218,Neurosurgery,"Max Healthcare Partner Centre, Pune",noida,LOC0218,MCh,28,teleconsult
DOC0219,Dr. Manoj Pillai,DEP0219,Urology,"Max Healthcare Partner Centre, Mumbai",ghaziabad,LOC0219,MD,20,teleconsult
DOC0220,Dr. Amit Sharma,DEP0220,Nephrology,"Max Healthcare Partner Centre, Banguluru",gurugram,LOC0220,DNB,29,in_person
